Zona;Contrato;Uso;Direccion Suministro;Contador;Diametro;F.Instalacion;Marca;Emplazamiento;Edad
"	Z022";275275;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -BJ B;42903;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275261;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 1 -BJ D;42908;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";9914531;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 2 -BJ;42893;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";267068;INDUSTRIAL;C/JOSEFA AYNAT AMOROS, Nº, 2 -LC 3;42941;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275450;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -1 A;42883;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275475;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -1 B;43198;15;08/03/2021;Sin Determinar;Sin determinar;3
"	Z022";275452;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -1 C;42915;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275444;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -1 D;42911;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275448;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -2 A;42932;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275473;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -2 B;42909;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275474;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -2 C;42885;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275496;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -2 E;42912;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275449;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -3 A;42882;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";268374;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -3 B;42935;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275469;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -3 D;42881;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275445;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -3 E;42910;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275447;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -4 A;42917;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";267460;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -4 C;43199;15;08/03/2021;Sin Determinar;Sin determinar;3
"	Z022";275443;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -4 E;42886;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275466;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -BJ 4;42884;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";267544;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº, 3 -BJ C;42879;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275435;OBRAS;C/JOSEFA AYNAT AMOROS, Nº, 5;42892;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275287;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº 1, -CP-;42902;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";59012;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº 1, Plt 2º, B;42926;15;01/01/2021;Sin Determinar;Sin determinar;3
